@relation CITIES_vs_MOUNTAINS
@attribute filename string
@attribute class {CITY,MOUNTAIN}
@data
SCRAPPING/PICTURES/c1.jpg, CITY
SCRAPPING/PICTURES/c2.jpg, CITY
SCRAPPING/PICTURES/c3.jpg, CITY
SCRAPPING/PICTURES/c4.jpg, CITY
SCRAPPING/PICTURES/c5.jpg, CITY
SCRAPPING/PICTURES/c6.jpg, CITY
SCRAPPING/PICTURES/c7.jpg, CITY
SCRAPPING/PICTURES/c8.jpg, CITY
SCRAPPING/PICTURES/c9.jpg, CITY
SCRAPPING/PICTURES/c10.jpg, CITY
SCRAPPING/PICTURES/c11.jpg, CITY
SCRAPPING/PICTURES/c12.jpg, CITY
SCRAPPING/PICTURES/c13.jpg, CITY
SCRAPPING/PICTURES/c14.jpg, CITY
SCRAPPING/PICTURES/c15.jpg, CITY
SCRAPPING/PICTURES/c16.jpg, CITY
SCRAPPING/PICTURES/c17.jpg, CITY
SCRAPPING/PICTURES/c18.jpg, CITY
SCRAPPING/PICTURES/c19.jpg, CITY
SCRAPPING/PICTURES/c20.jpg, CITY
SCRAPPING/PICTURES/c21.jpg, CITY
SCRAPPING/PICTURES/c22.jpg, CITY
SCRAPPING/PICTURES/c23.jpg, CITY
SCRAPPING/PICTURES/c24.jpg, CITY
SCRAPPING/PICTURES/c25.jpg, CITY
SCRAPPING/PICTURES/c26.jpg, CITY
SCRAPPING/PICTURES/c27.jpg, CITY
SCRAPPING/PICTURES/c28.jpg, CITY
SCRAPPING/PICTURES/c29.jpg, CITY
SCRAPPING/PICTURES/c30.jpg, CITY
SCRAPPING/PICTURES/c31.jpg, CITY
SCRAPPING/PICTURES/c32.jpg, CITY
SCRAPPING/PICTURES/c33.jpg, CITY
SCRAPPING/PICTURES/c34.jpg, CITY
SCRAPPING/PICTURES/c35.jpg, CITY
SCRAPPING/PICTURES/c36.jpg, CITY
SCRAPPING/PICTURES/c37.jpg, CITY
SCRAPPING/PICTURES/c38.jpg, CITY
SCRAPPING/PICTURES/c39.jpg, CITY
SCRAPPING/PICTURES/c40.jpg, CITY
SCRAPPING/PICTURES/c41.jpg, CITY
SCRAPPING/PICTURES/c42.jpg, CITY
SCRAPPING/PICTURES/c43.jpg, CITY
SCRAPPING/PICTURES/c44.jpg, CITY
SCRAPPING/PICTURES/c45.jpg, CITY
SCRAPPING/PICTURES/c46.jpg, CITY
SCRAPPING/PICTURES/c47.jpg, CITY
SCRAPPING/PICTURES/c48.jpg, CITY
SCRAPPING/PICTURES/c49.jpg, CITY
SCRAPPING/PICTURES/c50.jpg, CITY
SCRAPPING/PICTURES/c51.jpg, CITY
SCRAPPING/PICTURES/c52.jpg, CITY
SCRAPPING/PICTURES/c53.jpg, CITY
SCRAPPING/PICTURES/c54.jpg, CITY
SCRAPPING/PICTURES/c55.jpg, CITY
SCRAPPING/PICTURES/c56.jpg, CITY
SCRAPPING/PICTURES/c57.jpg, CITY
SCRAPPING/PICTURES/c58.jpg, CITY
SCRAPPING/PICTURES/c59.jpg, CITY
SCRAPPING/PICTURES/c60.jpg, CITY
SCRAPPING/PICTURES/c61.jpg, CITY
SCRAPPING/PICTURES/c62.jpg, CITY
SCRAPPING/PICTURES/c63.jpg, CITY
SCRAPPING/PICTURES/c64.jpg, CITY
SCRAPPING/PICTURES/c65.jpg, CITY
SCRAPPING/PICTURES/c66.jpg, CITY
SCRAPPING/PICTURES/c67.jpg, CITY
SCRAPPING/PICTURES/c68.jpg, CITY
